Wavelength;Raw data #1
625.08;34343
625.45;33154
625.82;31889
626.18;30850
626.55;29515
626.92;28512
627.29;28330
627.65;26364
628.02;25757
628.39;24515
628.76;23526
629.12;22956
629.49;22059
629.86;21116
630.23;20290
630.59;19560
630.96;18976
631.33;17777
631.7;17177
632.06;16680
632.43;15820
632.8;15152
633.16;14454
633.53;13912
633.9;13475
634.26;12830
634.63;12307
635;11667
635.37;11356
635.73;10780
636.1;10337
636.47;9863
636.83;9539
637.2;9176
637.57;8850
637.93;8449
638.3;8139
638.66;7788
639.03;7717
639.4;7260
639.76;7051
640.13;6923
640.5;6491
640.86;6375
641.23;6374
641.59;8161
641.96;5858
642.33;5804
642.69;5520
643.06;5283
643.42;5322
643.79;4992
644.16;4921
644.52;4786
644.89;4706
645.25;4561
645.62;4422
645.98;4100
646.35;4179
646.71;3956
647.08;3761
647.45;3771
647.81;3697
648.18;3508
648.54;3527
648.91;3246
649.27;3108
649.64;3106
650;3036
650.37;2909
650.73;2874
651.1;2803
651.46;2702
651.83;2611
652.19;2575
652.56;2476
652.92;2322
653.29;2148
653.65;2162
654.02;2165
654.38;2130
654.74;2030
655.11;1914
655.47;1869
655.84;1853
656.2;1891
656.57;1743
656.93;1731
657.29;1666
657.66;1636
658.02;1464
658.39;1375
658.75;1412
659.12;1373
659.48;1403
659.84;1349
660.21;1247
660.57;1291
660.93;1256
661.3;1196
661.66;1187
662.03;1111
662.39;1116
662.75;1075
663.12;1000
663.48;946
663.84;926
664.21;885
664.57;998
664.93;993
665.3;917
665.66;858
666.02;881
666.39;862
666.75;900
667.11;744
667.47;779
667.84;774
668.2;874
668.56;847
668.93;942
669.29;723
669.65;586
670.01;634
670.38;682
670.74;639
671.1;677
671.46;620
671.83;705
672.19;573
672.55;614
672.91;609
673.28;595
673.64;528
674;665
674.36;534
674.72;631
675.09;529
675.45;513
675.81;461
676.17;497
676.53;442
676.9;480
677.26;401
677.62;553
677.98;449
678.34;483
678.7;378
679.07;425
679.43;426
679.79;426
680.15;388
680.51;491
680.87;410
681.23;311
681.6;400
681.96;471
682.32;505
682.68;410
683.04;283
683.4;316
683.76;407
684.12;370
684.48;355
684.84;442
685.21;371
685.57;407
685.93;392
686.29;304
686.65;306
687.01;392
687.37;273
687.73;318
688.09;345
688.45;314
688.81;350
689.17;261
689.53;714
689.89;440
690.25;358
690.61;335
690.97;388
691.33;310
691.69;459
692.05;489
692.41;601
692.77;409
693.13;314
693.49;295
693.85;398
694.21;312
694.57;319
694.93;270
695.29;289
695.65;528
696.01;309
696.37;401
696.73;356
697.08;572
697.44;380
697.8;452
698.16;439
698.52;422
698.88;400
699.24;486
699.6;337
699.96;463
700.32;426
700.67;479
701.03;336
701.39;341
701.75;431
702.11;426
702.47;540
702.83;495
703.18;510
703.54;526
703.9;529
704.26;534
704.62;460
704.98;644
705.33;643
705.69;692
706.05;607
706.41;505
706.77;519
707.12;709
707.48;630
707.84;579
708.2;653
708.55;628
708.91;732
709.27;895
709.63;932
709.98;762
710.34;669
710.7;713
711.06;795
711.41;947
711.77;919
712.13;860
712.49;804
712.84;1060
713.2;901
713.56;958
713.91;978
714.27;1095
714.63;1166
714.99;945
715.34;1068
715.7;1163
716.06;1251
716.41;1166
716.77;1215
717.13;1329
717.48;1394
717.84;1359
718.19;1378
718.55;1443
718.91;1703
719.26;1538
719.62;1742
719.98;1597
720.33;1589
720.69;1647
721.04;1772
721.4;1744
721.76;1778
722.11;2018
722.47;1939
722.82;1953
723.18;1898
723.53;2100
723.89;2020
724.25;2262
724.6;2218
724.96;2173
725.31;2214
725.67;2348
726.02;2417
726.38;2410
726.73;2512
727.09;2594
727.44;2631
727.8;2653
728.15;2548
728.51;3821
728.86;2852
729.22;2745
729.57;2880
729.93;2818
730.28;2870
730.64;2971
730.99;3055
731.35;3044
731.7;3070
732.06;3229
732.41;3363
732.76;3338
733.12;3284
733.47;3344
733.83;3325
734.18;3369
734.54;3630
734.89;3553
735.24;3519
735.6;3538
735.95;3834
736.31;3774
736.66;3856
737.01;3824
737.37;3819
737.72;3927
738.07;3967
738.43;4116
738.78;3938
739.13;4105
739.49;3977
739.84;4043
740.19;4085
740.55;4033
740.9;3992
741.25;4224
741.61;4288
741.96;4135
742.31;4146
742.67;4176
743.02;4134
743.37;4225
743.72;4257
744.08;4243
744.43;4185
744.78;4306
745.14;4153
