Wavelength;Raw data #1
650.37;19217
650.73;18648
651.1;18410
651.46;17720
651.83;17458
652.19;16813
652.56;16565
652.92;16037
653.29;15556
653.65;15164
654.02;14888
654.38;14186
654.74;13802
655.11;13543
655.47;13188
655.84;12857
656.2;12351
656.57;12006
656.93;11594
657.29;11298
657.66;11078
658.02;10492
658.39;10277
658.75;9910
659.12;9770
659.48;9327
659.84;9224
660.21;8782
660.57;8578
660.93;8307
661.3;8126
661.66;7791
662.03;7578
662.39;7485
662.75;7154
663.12;7018
663.48;6691
663.84;6462
664.21;6350
664.57;6260
664.93;6181
665.3;5885
665.66;5720
666.02;5600
666.39;5337
666.75;5287
667.11;4935
667.47;4940
667.84;4751
668.2;4760
668.56;4587
668.93;4530
669.29;4275
669.65;4075
670.01;4001
670.38;3967
670.74;3847
671.1;3758
671.46;3654
671.83;3576
672.19;3396
672.55;3285
672.91;3225
673.28;3027
673.64;3030
674;3067
674.36;2862
674.72;2817
675.09;2718
675.45;2664
675.81;2574
676.17;2493
676.53;2448
676.9;2491
677.26;2329
677.62;2356
677.98;2196
678.34;2208
678.7;2162
679.07;2139
679.43;1991
679.79;1962
680.15;1980
680.51;2026
680.87;1806
681.23;1784
681.6;1782
681.96;1724
682.32;1690
682.68;1723
683.04;1673
683.4;1581
683.76;1541
684.12;1555
684.48;1443
684.84;1573
685.21;1415
685.57;1469
685.93;1356
686.29;1323
686.65;1246
687.01;1261
687.37;1326
687.73;1130
688.09;1190
688.45;1221
688.81;1179
689.17;1080
689.53;1460
689.89;1133
690.25;1152
690.61;1108
690.97;1107
691.33;965
691.69;1118
692.05;1208
692.41;1225
692.77;1019
693.13;1039
693.49;879
693.85;1006
694.21;827
694.57;865
694.93;781
695.29;777
695.65;963
696.01;758
696.37;735
696.73;747
697.08;870
697.44;763
697.8;739
698.16;715
698.52;704
698.88;624
699.24;801
699.6;653
699.96;614
700.32;636
700.67;683
701.03;608
701.39;583
701.75;566
702.11;519
702.47;578
702.83;675
703.18;574
703.54;538
703.9;526
704.26;523
704.62;498
704.98;545
705.33;519
705.69;583
706.05;538
706.41;479
706.77;353
707.12;527
707.48;430
707.84;457
708.2;507
708.55;465
708.91;502
709.27;550
709.63;589
709.98;422
710.34;381
710.7;400
711.06;415
711.41;474
711.77;382
712.13;444
712.49;364
712.84;466
713.2;349
713.56;383
713.91;381
714.27;310
714.63;395
714.99;291
715.34;389
715.7;315
716.06;285
716.41;386
716.77;390
717.13;322
717.48;360
717.84;301
718.19;345
718.55;366
718.91;506
719.26;386
719.62;480
719.98;336
720.33;296
720.69;309
721.04;423
721.4;286
721.76;231
722.11;339
722.47;360
722.82;335
723.18;281
723.53;290
723.89;191
724.25;428
724.6;307
724.96;293
725.31;250
725.67;299
726.02;322
726.38;316
726.73;282
727.09;289
727.44;308
727.8;236
728.15;232
728.51;1241
728.86;357
729.22;249
729.57;213
729.93;296
730.28;180
730.64;238
730.99;238
731.35;279
731.7;195
732.06;298
732.41;310
732.76;346
733.12;250
733.47;281
733.83;202
734.18;185
734.54;271
734.89;267
735.24;264
735.6;233
735.95;298
736.31;205
736.66;288
737.01;184
737.37;189
737.72;188
738.07;220
738.43;369
738.78;261
739.13;355
739.49;251
739.84;232
740.19;196
740.55;212
740.9;256
741.25;355
741.61;330
741.96;233
742.31;224
742.67;211
743.02;165
743.37;283
743.72;235
744.08;153
744.43;175
744.78;255
745.14;221
745.49;206
745.84;315
746.19;215
746.55;166
746.9;202
747.25;303
747.6;266
747.95;381
748.31;199
748.66;220
749.01;205
749.36;254
749.71;166
750.07;222
750.42;206
750.77;152
   ;286
   ;277
   ;189
   ;169
   ;265
   ;250
   ;226
   ;212
   ;208
   ;258
   ;225
   ;236
   ;223
   ;210
   ;285
   ;275
   ;182
   ;326
   ;198
   ;274
   ;280
   ;199
   ;263
   ;205
   ;406
   ;266
   ;280
   ;289
   ;260
   ;299
   ;313
   ;371
   ;264
   ;260
   ;235
   ;290
   ;386
   ;349
   ;290
   ;403
   ;310
   ;470
   ;429
   ;472
   ;460
   ;430
   ;461
   ;426
   ;426
   ;508
   ;543
   ;542
   ;447
   ;519
   ;613
   ;571
   ;548
   ;558
   ;640
   ;616
   ;786
   ;817
   ;808
   ;789
   ;842
   ;873
   ;874
   ;885
   ;957
   ;966
   ;1065
   ;1013
   ;1107
   ;1035
   ;1116
   ;1175
   ;1228
   ;1273
   ;1253
   ;1351
   ;1356
   ;1437
   ;1480
   ;1499
   ;1996
   ;1597
   ;1647
   ;1710
   ;1756
   ;1832
