Wavelength;%TR #1
685.93;7.4807
686.29;7.4601
686.65;7.5892
687.01;7.6759
687.37;7.5096
687.73;7.7303
688.09;7.9145
688.45;7.7774
688.81;8.1508
689.17;7.9892
689.53;8.1573
689.89;8.2365
690.25;8.3413
690.61;8.7357
690.97;8.8245
691.33;9.0048
691.69;8.9994
692.05;9.5636
692.41;9.4505
692.77;9.5135
693.13;9.7907
693.49;10.1599
693.85;10.319
694.21;10.7216
694.57;11.2697
694.93;11.2414
695.29;11.8476
695.65;11.8612
696.01;12.2569
696.37;12.7111
696.73;13.1354
697.08;13.7743
697.44;13.772
697.8;14.4404
698.16;14.8855
698.52;15.5417
698.88;16.079
699.24;16.3987
699.6;17.2496
699.96;17.3359
700.32;17.5437
700.67;18.5221
701.03;19.0449
701.39;19.9979
701.75;20.2671
702.11;20.8308
702.47;21.191
702.83;21.7258
703.18;22.699
703.54;22.9316
703.9;23.7435
704.26;24.0608
704.62;24.9863
704.98;25.3427
705.33;26.2201
705.69;26.8261
706.05;26.7483
706.41;27.6912
706.77;28.3334
707.12;28.9711
707.48;29.6113
707.84;29.5157
708.2;30.5476
708.55;30.9615
708.91;31.5021
709.27;32.4071
709.63;32.9806
709.98;33.6365
710.34;34.3031
710.7;34.2101
711.06;35.0989
711.41;36.1275
711.77;36.817
712.13;37.4823
712.49;37.8799
712.84;38.1037
713.2;38.6776
713.56;39.9307
713.91;39.7084
714.27;40.7935
714.63;40.9798
714.99;42.6317
715.34;42.1862
715.7;42.8228
716.06;44.4154
716.41;44.8111
716.77;44.6517
717.13;44.935
717.48;46.2452
717.84;46.8475
718.19;48.19
718.55;46.7942
718.91;47.7097
719.26;49.4469
719.62;51.0118
719.98;48.844
720.33;50.3102
720.69;50.4481
721.04;51.4055
721.4;52.3694
721.76;51.6303
722.11;51.6885
722.47;53.619
722.82;52.807
723.18;54.0394
723.53;54.3575
723.89;55.4919
724.25;54.4352
724.6;54.1237
724.96;52.6006
725.31;55.1351
725.67;56.2755
726.02;53.2457
726.38;55.5882
726.73;55.8708
727.09;56.1342
727.44;56.4531
727.8;57.0608
728.15;56.4103
728.51;57.9275
728.86;55.8887
729.22;56.0066
729.57;59.9544
729.93;60.1428
730.28;54.5455
730.64;58.6984
730.99;57.6114
731.35;55.0932
731.7;59.3054
732.06;61.0458
732.41;63.1191
732.76;59.5918
733.12;65.8003
733.47;61.7668
733.83;62.824
734.18;57.3187
734.54;58.7821
734.89;61.5385
735.24;67.6882
735.6;61.8029
735.95;65.1102
736.31;64.5685
736.66;58.9822
737.01;66.7748
737.37;63.6879
737.72;60.3636
738.07;63.4798
738.43;64.9272
738.78;67.1362
739.13;65.3386
739.49;70.4507
739.84;66.1995
740.19;66.7015
740.55;71.2772
740.9;68.3095
741.25;65.8076
741.61;64.141
741.96;67.7711
742.31;67.1842
742.67;70.6052
743.02;67.8809
743.37;69.5297
743.72;72.3185
744.08;69.6718
744.43;70.3418
744.78;72.0447
745.14;71.105
745.49;72.1006
745.84;70.4951
746.19;72.0943
746.55;72.2502
746.9;69.6076
747.25;72.8038
747.6;75.1517
747.95;75.2035
748.31;71.5992
748.66;71.741
749.01;71.3083
749.36;73.1448
749.71;74.8571
750.07;72.5886
750.42;74.454
750.77;72.4666
751.12;74.5296
751.47;74.0998
751.83;72.4733
752.18;73.7731
752.53;74.7847
752.88;74.2849
753.23;74.5863
753.58;74.837
753.93;74.1591
754.29;74.5478
754.64;75.6721
754.99;74.6404
755.34;74.1341
755.69;74.4554
756.04;73.93
756.39;75.5298
756.74;74.3739
757.09;73.7414
757.44;75.0191
757.8;74.4579
758.15;74.9738
758.5;75.1845
758.85;75.5382
759.2;75.7353
759.55;73.2157
759.9;74.4303
760.25;75.2818
760.6;74.8681
760.95;74.9073
761.3;74.3636
761.65;76.6102
762;76.1399
762.35;75.5953
762.7;75.4554
763.05;74.4871
763.4;75.5791
763.75;75.7072
764.1;75.377
764.45;75.4629
764.8;75.2406
765.15;76.0606
765.5;77.2723
765.85;75.9653
766.2;76.2803
766.55;76.2235
766.9;75.5834
767.25;76.4085
767.59;77.1773
767.94;74.8786
768.29;77.0684
768.64;76.2517
768.99;78.2369
769.34;75.914
769.69;76.7527
770.04;76.5729
770.39;76.9914
770.74;76.4124
771.08;76.7382
771.43;76.5334
771.78;75.8984
772.13;76.336
772.48;76.8116
772.83;76.4016
773.18;76.9563
773.52;76.3328
773.87;75.6152
774.22;76.6423
774.57;76.9231
774.92;77.3468
775.27;77.6835
775.61;76.7194
775.96;77.4755
776.31;77.8502
776.66;78.171
777.01;76.7034
777.35;77.3963
777.7;77.98
778.05;78.189
778.4;77.6518
778.74;77.093
779.09;76.5007
779.44;76.9367
779.79;78.4609
780.13;76.5103
780.48;78.0859
