Wavelength;Raw data #1
567.57;10882
567.95;11560
568.32;12332
568.7;13329
569.07;14104
569.44;15316
569.82;16319
570.19;17626
570.56;18188
570.94;19832
571.31;21272
571.69;22479
572.06;23697
572.43;26148
572.81;27291
573.18;29464
573.55;31289
573.93;33408
574.3;36066
574.67;37865
575.05;40448
575.42;44464
575.79;45209
576.17;49558
576.54;52375
576.91;56585
577.28;60515
577.66;62609
578.03;64040
578.4;64040
578.78;64040
579.15;64040
579.52;64040
579.89;64040
580.27;64040
580.64;64040
581.01;64040
581.39;64040
581.76;64040
582.13;64040
582.5;64040
582.88;64040
583.25;64040
583.62;64040
583.99;64040
584.36;64040
584.74;64040
585.11;64040
585.48;64040
585.85;64040
586.23;64040
586.6;64040
586.97;64040
587.34;64040
587.71;64040
588.09;64040
588.46;64040
588.83;64040
589.2;64040
589.57;64040
589.94;64040
590.32;64040
590.69;64040
591.06;64040
591.43;64040
591.8;64040
592.17;64040
592.55;64040
592.92;64040
593.29;64040
593.66;64040
594.03;64040
594.4;64040
594.77;64040
595.14;64040
595.52;64040
595.89;64040
596.26;64040
596.63;64040
597;64040
597.37;64040
597.74;64040
598.11;64040
598.48;64040
598.85;64040
599.23;64040
599.6;64040
599.97;64040
600.34;64040
600.71;64040
601.08;64040
601.45;64040
601.82;64040
602.19;64040
602.56;64040
602.93;64040
603.3;64040
603.67;64040
604.04;64040
604.41;64040
604.78;64040
605.15;64040
605.52;64040
605.89;64040
606.26;64040
606.63;64040
607;64040
607.37;64040
607.74;64040
608.11;64040
608.48;64040
608.85;64040
609.22;64040
609.59;64040
609.96;64040
610.33;64040
610.7;64040
611.07;64040
611.44;64040
611.81;64040
612.18;64040
612.55;64040
612.92;64040
613.28;64040
613.65;64040
614.02;64040
614.39;64040
614.76;64040
615.13;64040
615.5;64040
615.87;64040
616.24;64040
616.61;64040
616.98;64040
617.34;64040
617.71;64040
618.08;64040
618.45;64040
618.82;64040
619.19;64040
619.56;64040
619.92;64040
620.29;64040
620.66;64040
621.03;64040
621.4;64040
621.77;64040
622.13;64040
622.5;64040
622.87;64040
623.24;64040
623.61;64040
